country,year,iso_code,population,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,energy_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Canada,2005,CAN,32215914.0,7.614,0.236,574.764,-4.926,-0.85,807.101,8.924,1.118,25.053,0.213,17.841,0.152,116.966,3.631,608.947,18.902,270.577,25048.285,63393.656,8424.659,377.118,5034.569,38345.738,10891.0,117744.773,15.67,0.486,170.636,5.297,21.533,31.451,232.338,7.212,91.55,2.842,42.96,1.334,260.884,8.098,3793.256,0.79,1.942,2.341,1.012,1.194,2.115,3.338,1.46,2.905,3.416,5.327,2.6,4.503,3.175,4.749,2.348,2.249,0.005,0.022,0.028,0.001,1013.23,693.71,34.183,5.947
Canada,2006,CAN,32531864.0,7.728,0.238,568.585,-6.179,-1.075,753.974,-53.127,-6.582,23.176,0.2,17.478,0.151,114.307,3.514,576.086,17.708,278.306,25616.869,64147.629,8538.966,393.14,5203.038,38531.129,11150.107,115946.312,16.021,0.492,168.469,5.179,20.981,30.804,185.39,5.699,93.64,2.878,38.83,1.194,259.107,7.965,3771.95,0.735,1.858,2.104,0.937,1.173,2.109,3.315,1.449,2.95,3.402,5.314,2.593,4.61,3.039,3.542,2.311,2.244,0.005,0.022,0.028,0.001,1002.12,682.56,7.502,1.319
Canada,2007,CAN,32862458.0,7.731,0.235,593.755,25.171,4.427,760.951,6.977,0.925,23.156,0.194,18.068,0.152,119.147,3.626,599.455,18.241,286.037,26210.623,64908.582,8658.112,409.223,5385.224,38698.328,11415.866,119158.602,16.083,0.489,182.186,5.544,21.798,31.513,167.196,5.088,92.57,2.817,42.96,1.307,265.759,8.087,3915.844,0.685,1.885,2.11,0.932,1.151,2.103,3.293,1.438,2.993,3.394,5.304,2.587,4.685,3.179,3.67,2.363,2.238,0.005,0.022,0.029,0.001,1035.59,716.34,5.699,0.96
Canada,2008,CAN,33218542.0,6.988,0.21,576.809,-16.947,-2.854,715.28,-45.671,-6.002,21.533,0.185,17.364,0.149,112.985,3.401,583.686,17.571,293.025,26787.432,65623.859,8771.098,424.539,5567.073,38836.797,11672.815,116479.148,15.317,0.461,181.85,5.474,20.828,30.437,138.471,4.168,88.87,2.675,43.25,1.302,256.95,7.735,3869.268,0.611,1.8,1.945,0.856,1.127,2.096,3.268,1.426,3.031,3.383,5.289,2.58,4.575,3.085,2.921,2.293,2.23,0.005,0.023,0.029,0.001,1011.07,691.86,6.877,1.192
Canada,2009,CAN,33593920.0,5.364,0.16,544.14,-32.669,-5.664,655.273,-60.007,-8.389,19.506,0.176,16.198,0.146,93.593,2.786,575.21,17.122,298.389,27331.572,66279.133,8864.691,438.917,5742.333,38947.93,11926.105,110665.805,14.378,0.428,175.259,5.217,19.553,29.057,111.133,3.308,85.85,2.556,40.14,1.195,253.289,7.54,3717.698,0.456,1.728,1.784,0.718,1.098,2.087,3.241,1.411,3.062,3.372,5.266,2.573,4.351,3.049,2.122,2.311,2.221,0.005,0.023,0.029,0.001,976.14,656.85,31.071,5.71
Canada,2010,CAN,33963416.0,6.005,0.177,556.062,11.922,2.191,651.909,-3.364,-0.513,19.194,0.174,16.372,0.148,96.047,2.828,607.099,17.875,304.395,27887.635,66931.047,8960.738,453.622,5921.6,39043.777,12183.892,110485.93,14.705,0.433,179.267,5.278,19.835,29.242,95.847,2.822,86.36,2.543,40.61,1.196,257.787,7.59,3752.479,0.479,1.67,1.694,0.689,1.071,2.076,3.213,1.395,3.091,3.355,5.242,2.566,4.307,2.895,1.851,2.275,2.21,0.005,0.023,0.03,0.001,993.17,673.67,51.037,9.178
Canada,2011,CAN,34323536.0,6.02,0.175,565.254,9.192,1.653,681.809,29.9,4.587,19.864,0.175,16.468,0.145,86.995,2.535,601.281,17.518,310.415,28452.889,67612.852,9047.733,468.524,6117.079,39160.332,12443.323,113449.32,14.902,0.434,195.479,5.695,20.112,24.581,116.555,3.396,87.48,2.549,43.21,1.259,259.432,7.558,3893.982,0.446,1.641,1.719,0.591,1.043,2.066,3.185,1.377,3.116,3.345,5.222,2.56,4.145,3.067,2.234,2.286,2.198,0.005,0.024,0.03,0.001,843.7,690.33,36.027,6.374
Canada,2012,CAN,34691876.0,6.532,0.188,565.782,0.528,0.093,681.564,-0.245,-0.036,19.646,0.174,16.309,0.145,81.697,2.355,578.036,16.662,316.947,29018.672,68294.414,9129.431,484.32,6315.4,39276.113,12704.219,112586.703,15.796,0.455,198.322,5.717,19.902,24.335,115.782,3.337,88.06,2.538,45.5,1.312,260.896,7.52,3905.844,0.472,1.62,1.692,0.548,1.017,2.055,3.157,1.359,3.142,3.335,5.2,2.553,4.186,3.05,2.166,2.269,2.186,0.005,0.024,0.03,0.001,844.21,690.45,12.254,2.166
Canada,2013,CAN,35063696.0,5.973,0.17,569.54,3.758,0.664,691.786,10.222,1.5,19.729,0.173,16.243,0.142,79.213,2.259,577.981,16.484,322.92,29588.209,68986.203,9208.644,500.996,6520.08,39398.363,12964.753,114051.086,16.676,0.476,204.679,5.837,20.04,24.423,122.246,3.486,90.99,2.595,45.07,1.285,260.535,7.43,3999.052,0.414,1.617,1.726,0.528,0.991,2.044,3.131,1.341,3.171,3.328,5.183,2.546,4.326,3.131,2.516,2.249,2.174,0.005,0.024,0.031,0.001,856.35,702.66,8.441,1.482
Canada,2014,CAN,35404616.0,5.912,0.167,566.353,-3.187,-0.56,698.927,7.141,1.032,19.741,0.174,15.997,0.141,76.836,2.17,558.723,15.781,328.832,30154.564,69685.133,9285.48,517.898,6731.312,39530.938,13217.721,113198.414,16.902,0.477,211.232,5.966,20.069,24.411,132.574,3.745,93.38,2.638,44.52,1.257,252.967,7.145,4007.746,0.394,1.597,1.718,0.512,0.964,2.033,3.105,1.323,3.199,3.323,5.165,2.538,4.367,3.178,2.543,2.177,2.163,0.005,0.025,0.031,0.001,864.27,710.55,-7.63,-1.347
Canada,2015,CAN,35732120.0,6.185,0.173,570.68,4.327,0.764,718.218,19.29,2.76,20.1,0.178,15.971,0.141,78.423,2.195,541.387,15.151,335.016,30725.242,70403.352,9363.903,533.995,6945.088,39678.473,13471.6,112891.758,16.097,0.451,213.777,5.983,19.836,24.165,147.537,4.129,94.24,2.637,44.93,1.257,253.879,7.105,4033.862,0.428,1.609,1.748,0.535,0.943,2.023,3.081,1.307,3.222,3.318,5.146,2.529,4.189,3.151,2.62,2.136,2.152,0.005,0.025,0.031,0.001,863.46,708.8,-29.294,-5.133
Canada,2016,CAN,36113532.0,6.114,0.169,557.69,-12.991,-2.276,674.55,-43.668,-6.08,18.679,0.17,15.443,0.14,73.693,2.041,521.485,14.44,341.131,31282.934,71077.898,9437.597,548.088,7154.643,39795.336,13723.561,110180.789,14.093,0.39,209.554,5.803,19.638,21.129,116.861,3.236,96.17,2.663,43.71,1.21,251.961,6.977,3979.017,0.412,1.573,1.684,0.514,0.921,2.013,3.057,1.291,3.234,3.308,5.131,2.519,3.766,3.007,2.541,2.098,2.141,0.005,0.025,0.032,0.001,763.06,709.18,-36.205,-6.492
Canada,2017,CAN,36554344.0,6.863,0.188,566.652,8.962,1.607,721.88,47.329,7.016,19.748,0.179,15.502,0.14,72.858,1.993,527.749,14.437,347.994,31849.584,71799.773,9510.454,562.901,7368.949,39950.562,13979.165,110509.586,14.813,0.405,214.307,5.863,19.85,21.338,155.228,4.246,100.7,2.755,44.66,1.222,255.604,6.992,4039.605,0.456,1.573,1.778,0.503,0.903,2.003,3.035,1.276,3.248,3.298,5.121,2.51,3.823,3.009,3.4,2.092,2.129,0.005,0.025,0.032,0.001,779.98,725.61,-38.903,-6.865
Canada,2018,CAN,37035260.0,6.99,0.189,577.066,10.414,1.838,713.817,-8.062,-1.117,19.274,0.175,15.582,0.142,60.974,1.646,528.404,14.268,354.983,32426.652,72513.594,9571.429,578.385,7598.966,40087.312,14240.606,110059.281,15.484,0.418,230.017,6.211,20.041,21.571,136.751,3.692,104.92,2.833,47.56,1.284,261.441,7.059,4076.074,0.446,1.57,1.739,0.414,0.885,1.993,3.013,1.259,3.26,3.291,5.11,2.502,3.802,3.068,3.191,2.131,2.116,0.005,0.026,0.033,0.001,798.87,742.23,-48.662,-8.433
Canada,2019,CAN,37522584.0,7.195,0.192,578.588,1.521,0.264,708.518,-5.299,-0.742,18.882,0.175,15.42,0.143,58.626,1.562,524.475,13.978,362.179,33005.242,73222.109,9630.055,594.29,7830.531,40217.242,14503.76,107980.758,15.905,0.424,231.565,6.171,19.372,20.835,129.93,3.463,103.86,2.768,44.86,1.196,263.154,7.013,4051.717,0.445,1.562,1.702,0.399,0.868,1.984,2.991,1.243,3.27,3.283,5.097,2.494,3.653,3.038,2.826,2.126,2.103,0.005,0.026,0.033,0.001,781.78,726.9,-54.113,-9.353
Canada,2020,CAN,37888704.0,6.713,0.177,522.845,-55.742,-9.634,645.677,-62.841,-8.869,17.041,0.17,13.8,0.137,48.517,1.281,481.262,12.702,368.891,33528.086,73867.789,9678.571,610.717,8052.005,40340.074,14731.43,100497.281,16.426,0.434,221.474,5.845,17.887,19.308,122.832,3.242,100.25,2.646,47.2,1.246,227.67,6.009,3807.712,0.411,1.494,1.643,0.341,0.851,1.974,2.969,1.227,3.288,3.272,5.085,2.486,4.122,2.931,2.86,2.089,2.088,0.005,0.026,0.033,0.001,731.54,677.71,-41.583,-7.953
China,1990,CHN,1153704192.0,84.513,0.073,2484.855,21.2,0.861,3852.928,-58.951,-1.507,3.34,0.485,2.154,0.313,1976.684,1.713,2320.346,2.011,925.744,43404.617,85172.0,35176.438,30.613,473.096,46445.609,5646.984,6880.663,0.0,0.0,29.301,0.025,2.807,2.507,1368.074,1.186,764.18,0.662,296.39,0.257,330.291,0.286,7938.249,17.121,10.921,13.8,22.716,7.559,5.373,5.92,8.041,0.374,0.598,7.308,2.099,0.0,0.765,26.478,3.573,6.946,0.03,0.034,0.067,0.003,2892.41,3238.86,-164.509,-6.62
China,1991,CHN,1170626176.0,101.305,0.087,2606.096,121.241,4.879,3619.209,-233.719,-6.066,3.092,0.434,2.226,0.313,2049.92,1.751,2399.879,2.05,1027.049,46010.711,88791.211,37226.355,30.613,503.873,47458.723,6003.011,7122.351,0.0,0.0,30.778,0.026,2.893,2.597,1013.113,0.865,773.83,0.661,303.93,0.26,356.027,0.304,8337.61,19.963,11.219,12.845,23.796,8.053,5.536,6.053,8.345,0.362,0.607,7.41,2.154,0.0,0.787,20.481,3.667,7.053,0.03,0.035,0.069,0.004,3039.78,3386.24,-206.217,-7.913
China,1992,CHN,1183813376.0,122.445,0.103,2730.788,124.691,4.785,3785.728,166.519,4.601,3.198,0.431,2.307,0.311,2114.715,1.786,2575.993,2.176,1149.494,48741.5,92576.938,39341.074,30.613,534.112,48513.664,6388.804,7411.395,0.0,0.0,30.239,0.026,2.969,2.677,1054.941,0.891,779.55,0.659,309.82,0.262,385.793,0.326,8773.708,23.166,12.101,13.622,25.147,8.654,5.71,6.193,8.656,0.352,0.614,7.513,2.219,0.0,0.764,20.198,4.188,7.161,0.031,0.036,0.071,0.004,3168.74,3515.19,-154.794,-5.668
China,1993,CHN,1195855616.0,142.774,0.119,2921.651,190.863,6.989,4008.885,223.157,5.895,3.352,0.424,2.443,0.309,2228.745,1.864,2757.112,2.306,1292.268,51663.152,96585.828,41569.816,30.613,569.84,49600.898,6817.353,7908.675,0.0,0.0,35.728,0.03,3.132,2.842,1087.234,0.909,788.86,0.66,301.62,0.252,428.549,0.358,9457.634,25.899,12.815,14.355,26.186,9.341,5.894,6.343,8.978,0.343,0.626,7.621,2.294,0.0,0.878,21.198,4.649,7.274,0.032,0.038,0.073,0.004,3398.46,3744.91,-164.539,-5.632
China,1994,CHN,1207286656.0,164.377,0.136,3103.739,182.088,6.232,4303.095,294.21,7.339,3.564,0.428,2.571,0.309,2380.586,1.972,2750.089,2.278,1456.645,54766.887,100888.922,43950.402,34.349,611.408,50800.25,7241.064,8323.468,3.737,0.003,41.568,0.034,3.234,2.947,1199.356,0.993,811.27,0.672,315.16,0.261,423.712,0.351,10048.812,27.935,13.474,14.935,27.813,10.1,6.089,6.503,9.32,0.372,0.642,7.737,2.363,1.187,1.013,20.763,4.579,7.391,0.033,0.039,0.076,0.004,3558.02,3904.48,-353.65,-11.394
China,1995,CHN,1218144384.0,184.637,0.152,3361.637,257.898,8.309,4453.87,150.775,3.504,3.656,0.43,2.76,0.325,2569.754,2.11,2993.954,2.458,1641.281,58128.523,105342.797,46520.156,38.078,653.844,51892.484,7709.294,8498.712,3.728,0.003,42.436,0.035,3.536,3.252,1092.233,0.897,848.71,0.697,358.81,0.295,468.23,0.384,10352.658,29.671,14.29,15.272,29.191,10.91,6.298,6.664,9.684,0.398,0.658,7.836,2.442,1.142,1.008,19.368,5.014,7.521,0.033,0.041,0.079,0.004,3961.46,4307.87,-367.684,-10.938
China,1996,CHN,1228298880.0,192.853,0.157,3508.818,147.181,4.378,4652.544,198.674,4.461,3.788,0.427,2.857,0.322,2660.401,2.166,3125.313,2.544,1834.135,61637.344,109995.336,49180.559,43.662,698.315,53036.211,8219.917,8880.126,5.584,0.005,44.47,0.036,3.524,3.243,1143.726,0.931,857.26,0.698,384.86,0.313,510.622,0.416,10907.449,30.365,14.469,15.382,29.48,11.698,6.507,6.828,10.049,0.44,0.673,7.937,2.527,1.593,1.011,19.071,5.307,7.65,0.034,0.043,0.081,0.004,3982.98,4328.95,-383.505,-10.93
China,1997,CHN,1237801472.0,202.874,0.164,3515.594,6.776,0.193,4659.896,7.351,0.158,3.765,0.424,2.84,0.32,2609.556,2.108,3058.559,2.471,2037.009,65152.938,114655.234,51790.113,49.087,742.473,54180.512,8777.878,8871.482,5.425,0.004,44.159,0.036,3.494,3.214,1144.301,0.924,812.25,0.656,356.78,0.288,557.961,0.451,10981.134,30.699,14.411,14.618,29.067,12.466,6.705,6.979,10.392,0.478,0.686,8.018,2.619,1.537,1.001,15.296,5.713,7.76,0.035,0.045,0.084,0.004,3978.52,4324.41,-457.035,-13.0
China,1998,CHN,1246836096.0,211.369,0.17,3364.587,-151.007,-4.295,4430.843,-229.052,-4.915,3.554,0.403,2.699,0.306,2444.771,1.961,2959.776,2.374,2248.377,68517.523,119086.07,54234.887,53.219,792.974,55246.766,9337.141,8822.785,4.132,0.003,50.501,0.041,3.563,3.286,1066.255,0.855,814.34,0.653,365.83,0.293,559.262,0.449,11000.566,32.106,13.828,14.529,27.985,13.227,6.879,7.117,10.695,0.502,0.704,8.102,2.706,1.227,1.126,17.295,5.653,7.862,0.036,0.046,0.086,0.005,4096.86,4442.51,-404.812,-12.032
China,1999,CHN,1255433216.0,228.322,0.182,3557.275,192.687,5.727,4461.806,30.963,0.699,3.554,0.392,2.834,0.312,2580.992,2.056,3172.408,2.527,2476.699,72074.797,123547.875,56815.879,57.652,847.545,56151.297,9933.892,9069.433,4.433,0.004,54.572,0.043,3.485,3.209,904.531,0.72,808.7,0.644,381.46,0.304,596.751,0.475,11386.067,33.066,14.325,14.469,29.122,14.001,7.06,7.25,11.012,0.527,0.723,8.163,2.797,1.343,1.188,15.065,5.888,7.967,0.036,0.048,0.089,0.005,4029.26,4375.02,-384.867,-10.819
China,2000,CHN,1264099072.0,244.388,0.193,3649.201,91.926,2.584,4320.913,-140.893,-3.158,3.418,0.366,2.887,0.309,2601.737,2.058,3262.526,2.581,2721.087,75724.0,127868.797,59417.617,62.389,907.342,56823.008,10582.577,9334.936,4.737,0.004,59.796,0.047,3.613,3.34,671.712,0.531,808.41,0.64,376.31,0.298,648.686,0.513,11800.283,33.876,14.31,13.994,28.258,14.78,7.237,7.37,11.314,0.553,0.744,8.196,2.896,1.364,1.264,12.495,6.311,8.069,0.037,0.05,0.092,0.005,4221.71,4567.27,-386.674,-10.596
China,2001,CHN,1272739584.0,270.828,0.213,3728.513,79.313,2.173,4308.903,-12.01,-0.278,3.386,0.346,2.93,0.299,2637.655,2.072,3358.154,2.639,2991.916,79452.516,132177.703,62055.27,67.171,974.499,57403.398,11241.878,9797.812,4.783,0.004,67.157,0.053,3.74,3.481,580.39,0.456,800.87,0.629,378.53,0.297,659.3,0.518,12470.062,35.921,14.522,14.03,28.487,15.612,7.412,7.486,11.611,0.578,0.769,8.22,2.992,1.424,1.412,11.524,6.366,8.169,0.038,0.051,0.094,0.005,4430.46,4759.81,-370.359,-9.933
China,2002,CHN,1280926080.0,282.688,0.221,4103.042,374.529,10.045,4596.373,287.47,6.672,3.588,0.338,3.203,0.302,3018.634,2.357,3650.118,2.85,3274.604,83555.555,136774.062,65073.906,71.657,1028.492,57896.73,11894.963,10602.087,4.486,0.004,53.993,0.042,3.945,3.687,493.33,0.385,793.65,0.62,397.24,0.31,653.086,0.51,13580.49,36.155,15.632,14.53,31.171,16.417,7.608,7.61,11.96,0.6,0.781,8.228,3.081,1.381,1.101,9.161,6.318,8.277,0.038,0.053,0.097,0.005,4723.4,5053.06,-452.924,-11.039
China,2003,CHN,1288873344.0,353.679,0.274,4841.119,738.076,17.989,5362.1,765.727,16.659,4.16,0.339,3.756,0.306,3601.712,2.794,4077.756,3.164,3628.283,88396.68,142136.156,68675.617,76.836,1089.238,58417.715,12622.062,12273.32,5.18,0.004,60.745,0.047,4.441,4.187,520.981,0.404,818.95,0.635,401.81,0.312,727.099,0.564,15818.756,41.125,17.509,16.015,34.228,17.438,7.851,7.763,12.382,0.625,0.797,8.233,3.182,1.503,1.195,8.931,6.848,8.406,0.039,0.055,0.1,0.005,5395.93,5724.51,-763.362,-15.768
China,2004,CHN,1296816768.0,368.396,0.284,5217.351,376.232,7.772,5825.695,463.596,8.646,4.492,0.315,4.023,0.282,3835.288,2.957,4315.593,3.328,3996.679,93614.023,147961.875,72510.906,82.028,1160.759,59026.055,13461.154,14272.745,5.192,0.004,71.521,0.055,5.005,4.751,608.344,0.469,865.02,0.667,417.61,0.322,839.093,0.647,18509.135,40.998,18.23,17.127,35.262,18.414,8.108,7.934,12.822,0.649,0.817,8.256,3.301,1.515,1.36,11.279,7.621,8.554,0.04,0.058,0.104,0.006,6161.01,6489.94,-901.758,-17.284
China,2005,CHN,1304887552.0,411.649,0.315,5882.143,664.792,12.742,6268.588,442.893,7.602,4.804,0.298,4.508,0.28,4424.39,3.391,4717.784,3.615,4408.328,99496.164,154230.453,76935.289,87.616,1245.716,59412.5,14311.327,16114.158,5.588,0.004,84.957,0.065,5.566,5.314,386.445,0.296,902.04,0.691,427.86,0.328,850.173,0.652,21027.164,42.705,19.877,18.178,38.294,19.447,8.403,8.12,13.332,0.675,0.845,8.254,3.417,1.606,1.581,7.9,7.653,8.725,0.041,0.06,0.108,0.006,6934.07,7263.56,-1164.36,-19.795
China,2006,CHN,1313086592.0,470.087,0.358,6494.338,612.195,10.408,6898.949,630.36,10.056,5.254,0.299,4.946,0.282,4905.374,3.736,5135.453,3.911,4878.415,105990.508,161129.391,81840.672,93.15,1349.469,59817.113,15209.861,17552.816,5.534,0.004,103.753,0.079,6.049,5.798,404.611,0.308,940.51,0.716,440.71,0.336,898.534,0.684,23048.367,44.713,21.219,19.249,40.211,20.566,8.725,8.326,13.889,0.699,0.882,8.25,3.537,1.592,1.872,7.729,8.015,8.914,0.042,0.063,0.112,0.006,7612.85,7942.46,-1358.885,-20.924
China,2007,CHN,1321513216.0,514.981,0.39,6983.577,489.239,7.533,7342.994,444.045,6.436,5.557,0.293,5.285,0.279,5289.904,4.003,5545.422,4.196,5393.396,112974.086,168472.391,87130.57,98.115,1478.985,60176.527,16137.212,18955.008,4.965,0.004,129.515,0.098,6.471,6.221,359.417,0.272,970.03,0.734,449.65,0.34,927.351,0.702,25049.293,45.607,22.17,20.366,41.364,21.704,9.065,8.546,14.472,0.718,0.932,8.248,3.657,1.446,2.26,7.889,8.244,9.112,0.044,0.067,0.116,0.006,8221.63,8551.05,-1438.154,-20.593
China,2008,CHN,1330167168.0,525.924,0.395,7501.498,517.921,7.416,7854.141,511.147,6.961,5.905,0.302,5.64,0.288,5729.474,4.307,5969.058,4.487,5919.32,120475.586,176326.547,92860.047,102.781,1628.659,60529.172,17107.328,19560.699,4.666,0.004,149.674,0.113,6.62,6.373,352.643,0.265,988.56,0.743,465.49,0.35,970.117,0.729,26019.0,45.998,23.412,21.353,43.393,22.773,9.425,8.781,15.093,0.734,0.99,8.243,3.78,1.394,2.539,7.438,8.657,9.318,0.045,0.07,0.121,0.006,8477.05,8805.33,-1532.44,-20.428
China,2009,CHN,1339125632.0,583.56,0.436,7891.089,389.592,5.194,8248.937,394.796,5.027,6.16,0.304,5.893,0.291,6028.5,4.502,6721.393,5.019,6502.88,128366.672,184575.469,98888.547,107.337,1793.063,60887.02,18089.676,20281.068,4.557,0.003,164.404,0.123,7.005,6.759,357.847,0.267,1017.72,0.76,476.38,0.356,982.348,0.734,27158.898,49.647,25.056,22.459,46.255,23.936,9.801,9.027,15.739,0.749,1.053,8.233,3.903,1.379,2.86,6.834,8.962,9.534,0.046,0.073,0.126,0.007,9051.17,9380.45,-1169.697,-14.823
China,2010,CHN,1348191360.0,639.592,0.474,8620.627,729.538,9.245,8631.894,382.958,4.643,6.403,0.297,6.394,0.297,6568.793,4.872,7336.8,5.442,7142.472,136987.297,193207.375,105457.336,111.311,1992.648,60898.289,19182.248,21551.547,3.974,0.003,199.585,0.148,7.574,7.33,11.268,0.008,1066.02,0.791,488.82,0.363,1092.572,0.81,29055.609,50.969,25.883,22.43,47.119,25.129,10.2,9.274,16.42,0.758,1.129,8.177,4.04,1.164,3.223,0.218,9.643,9.763,0.047,0.077,0.131,0.007,9882.38,10211.64,-1283.827,-14.892
China,2011,CHN,1357095424.0,708.564,0.522,9532.409,911.782,10.577,9593.182,961.287,11.136,7.069,0.306,7.024,0.304,7309.786,5.386,8137.908,5.997,7851.037,146519.703,202800.547,112767.125,115.165,2238.638,60959.059,20306.107,23090.885,3.853,0.003,245.99,0.181,8.172,7.65,60.772,0.045,1112.8,0.82,497.79,0.367,1123.859,0.828,31336.535,52.518,27.681,24.192,49.621,26.37,10.637,9.553,17.165,0.766,1.224,8.128,4.177,1.072,3.86,1.165,9.903,10.022,0.048,0.082,0.137,0.007,10382.27,11089.79,-1394.501,-14.629
China,2012,CHN,1366560768.0,714.782,0.523,9779.354,246.946,2.591,9837.238,244.057,2.544,7.199,0.302,7.156,0.3,7464.806,5.462,8498.251,6.219,8565.818,156299.062,212637.797,120231.93,118.897,2516.237,61016.941,21482.82,23873.234,3.733,0.003,277.599,0.203,8.324,7.806,57.883,0.042,1113.26,0.815,509.82,0.373,1176.712,0.861,32624.225,51.64,27.993,24.422,50.111,27.493,11.066,9.83,17.895,0.771,1.329,8.078,4.317,0.989,4.269,1.083,10.234,10.276,0.05,0.086,0.143,0.007,10667.19,11374.8,-1281.104,-13.1
China,2013,CHN,1376100352.0,748.323,0.544,9956.376,177.021,1.81,10002.81,165.572,1.683,7.269,0.295,7.235,0.294,7493.454,5.445,8724.944,6.34,9314.142,166255.438,222640.609,127725.391,122.53,2836.365,61063.375,22717.441,24600.359,3.632,0.003,320.127,0.233,8.62,8.106,46.434,0.034,1136.23,0.826,523.04,0.38,1234.622,0.897,33852.562,51.862,28.259,24.95,49.993,28.572,11.484,10.105,18.596,0.775,1.448,8.033,4.461,0.942,4.898,0.956,10.658,10.529,0.051,0.09,0.149,0.007,11154.26,11861.84,-1231.432,-12.368
China,2014,CHN,1385189632.0,778.627,0.562,9998.674,42.298,0.425,10441.911,439.101,4.39,7.538,0.301,7.218,0.288,7425.067,5.36,8815.555,6.364,10092.769,176254.109,233082.5,135150.453,126.46,3206.586,61506.613,23973.047,25072.023,3.93,0.003,370.222,0.267,8.62,8.11,443.237,0.32,1149.47,0.83,534.71,0.386,1255.605,0.906,34729.508,51.926,28.192,25.668,49.48,29.599,11.884,10.387,19.256,0.781,1.583,8.036,4.603,1.016,5.57,8.5,10.804,10.777,0.053,0.095,0.155,0.008,11233.38,11940.74,-1183.119,-11.833
China,2015,CHN,1393715456.0,721.995,0.518,9866.951,-131.722,-1.317,10242.954,-198.957,-1.905,7.349,0.292,7.08,0.281,7266.979,5.214,8868.106,6.363,10814.763,186121.062,243325.469,142417.422,130.361,3586.639,61882.613,25301.852,25209.49,3.901,0.003,380.052,0.273,8.47,7.962,376.002,0.27,1147.67,0.823,549.87,0.395,1328.805,0.953,35134.855,49.984,27.823,24.926,49.563,30.427,12.256,10.649,19.876,0.787,1.713,8.026,4.749,1.015,5.603,6.678,11.18,11.005,0.054,0.099,0.161,0.008,11097.28,11804.7,-998.845,-10.123
China,2016,CHN,1401889664.0,743.044,0.53,9765.029,-101.923,-1.033,9978.354,-264.6,-2.583,7.118,0.283,6.966,0.277,7071.404,5.044,8865.027,6.324,11557.807,195886.094,253303.812,149488.828,133.452,4008.365,62095.941,26659.688,25164.803,3.09,0.002,421.726,0.301,8.398,7.936,213.326,0.152,1107.28,0.79,551.99,0.394,1357.838,0.969,35278.277,50.108,27.538,24.909,49.362,31.215,12.605,10.894,20.454,0.788,1.853,8.006,4.894,0.826,6.051,4.639,11.309,11.216,0.055,0.104,0.167,0.008,11126.01,11773.34,-900.002,-9.217
China,2017,CHN,1410275968.0,758.185,0.538,10011.151,246.122,2.52,10472.555,494.2,4.953,7.426,0.286,7.099,0.273,7163.318,5.079,9142.489,6.483,12315.993,205897.234,263776.375,156652.156,136.421,4494.724,62557.344,28090.275,25987.611,2.969,0.002,486.359,0.345,8.519,8.06,461.403,0.327,1116.91,0.792,549.27,0.389,1430.587,1.014,36649.703,50.393,27.789,25.801,49.437,31.964,12.949,11.15,21.018,0.787,2.012,8.018,5.043,0.766,6.83,10.107,11.707,11.429,0.056,0.108,0.173,0.008,11366.6,12014.2,-868.662,-8.677
China,2018,CHN,1417069440.0,786.745,0.555,10353.935,342.783,3.424,11050.448,577.893,5.518,7.798,0.288,7.307,0.27,7316.4,5.163,9615.418,6.785,13102.737,216251.172,274826.812,163968.547,139.829,5070.093,63253.855,29590.75,27109.42,3.408,0.002,575.369,0.406,8.838,8.381,696.514,0.492,1147.49,0.81,545.9,0.385,1500.474,1.059,38415.93,50.245,28.161,26.918,49.686,32.678,13.293,11.419,21.573,0.788,2.196,8.063,5.198,0.837,7.674,16.254,12.231,11.64,0.058,0.113,0.179,0.008,11877.1,12524.34,-738.516,-7.133
