country     ,year ,iso_code ,population   ,cement_co2 ,cement_co2_per_capita ,co2       ,co2_growth_abs ,co2_growth_prct ,co2_including_luc ,co2_including_luc_growth_abs ,co2_including_luc_growth_prct ,co2_including_luc_per_capita ,co2_including_luc_per_unit_energy ,co2_per_capita ,co2_per_unit_energy ,coal_co2 ,coal_co2_per_capita ,cumulative_cement_co2 ,cumulative_co2 ,cumulative_co2_including_luc ,cumulative_coal_co2 ,cumulative_flaring_co2 ,cumulative_gas_co2 ,cumulative_luc_co2 ,cumulative_oil_co2 ,energy_per_capita ,flaring_co2 ,flaring_co2_per_capita ,gas_co2 ,gas_co2_per_capita ,land_use_change_co2 ,land_use_change_co2_per_capita ,methane ,methane_per_capita ,nitrous_oxide ,nitrous_oxide_per_capita ,oil_co2  ,oil_co2_per_capita ,primary_energy_consumption ,share_global_cement_co2 ,share_global_co2 ,share_global_co2_including_luc ,share_global_coal_co2 ,share_global_cumulative_cement_co2 ,share_global_cumulative_co2 ,share_global_cumulative_co2_including_luc ,share_global_cumulative_coal_co2 ,share_global_cumulative_flaring_co2 ,share_global_cumulative_gas_co2 ,share_global_cumulative_luc_co2 ,share_global_cumulative_oil_co2 ,share_global_flaring_co2 ,share_global_gas_co2 ,share_global_luc_co2 ,share_global_oil_co2
Brazil      ,1990 ,BRA      , 150706448.0 ,    11.062 ,                0.073 ,  218.658 ,6.587          ,3.106           ,         1742.684 ,136.206                      ,8.479                         ,                      11.563 ,                            1.113 ,         1.451 ,              0.14  ,  37.095 ,              0.246 ,              247.094 ,      4652.159 ,                   70313.602 ,            810.97  ,                51.672 ,            62.587 ,         69819.438 ,          3476.148 ,        10391.007 ,      7.554 ,                 0.05  ,  7.484 ,             0.05  ,1524.026            ,10.113                         , 291.05 ,             1.931 ,       111.7  ,                   0.741 , 151.775 ,             1.007 ,                  1565.992 ,                  2.241 ,           0.961 ,                         6.242 ,                0.426 ,                             2.018 ,                      0.576 ,                                    4.887 ,                           0.185 ,                              0.632 ,                          0.079 ,                         10.986 ,                          1.292 ,                   2.919 ,               0.195 ,29.496               ,               1.642
Brazil      ,1991 ,BRA      , 153336448.0 ,    11.776 ,                0.077 ,  229.394 ,10.736         ,4.91            ,         1831.239 ,88.555                       ,5.082                         ,                      11.943 ,                            1.133 ,         1.496 ,              0.142 ,  42.466 ,              0.277 ,              258.87  ,      4881.553 ,                   72144.836 ,            853.436 ,                59.033 ,            69.923 ,         71421.281 ,          3632.848 ,        10542.793 ,      7.361 ,                 0.048 ,  7.336 ,             0.048 ,1601.845            ,10.447                         , 300.15 ,             1.957 ,       115.63 ,                   0.754 , 156.7   ,             1.022 ,                  1616.594 ,                  2.321 ,           0.988 ,                         6.499 ,                0.493 ,                             2.03  ,                      0.587 ,                                    4.918 ,                           0.191 ,                              0.699 ,                          0.084 ,                         11.151 ,                          1.303 ,                   2.686 ,               0.188 ,32.383               ,               1.614
Brazil      ,1992 ,BRA      , 155900784.0 ,     9.77  ,                0.063 ,  233.601 ,4.207          ,1.834           ,         1925.131 ,93.892                       ,5.127                         ,                      12.348 ,                            1.174 ,         1.498 ,              0.142 ,  41.203 ,              0.264 ,              268.64  ,      5115.154 ,                   74069.969 ,            894.639 ,                66.478 ,            77.906 ,         73112.812 ,          3796.1   ,        10515.058 ,      7.445 ,                 0.048 ,  7.983 ,             0.051 ,1691.531            ,10.85                          , 305.53 ,             1.96  ,       117.29 ,                   0.752 , 163.252 ,             1.047 ,                  1639.306 ,                  1.848 ,           1.035 ,                         6.927 ,                0.49  ,                             2.023 ,                      0.599 ,                                    4.955 ,                           0.197 ,                              0.765 ,                          0.09  ,                         11.323 ,                          1.318 ,                   3.077 ,               0.202 ,32.386               ,               1.772
Brazil      ,1993 ,BRA      , 158440864.0 ,    10.164 ,                0.064 ,  244.306 ,10.705         ,4.583           ,         1801.391 ,-123.74                      ,-6.428                        ,                      11.369 ,                            1.05  ,         1.542 ,              0.142 ,  42.343 ,              0.267 ,              278.804 ,      5359.46  ,                   75871.359 ,            936.982 ,                74.054 ,            86.636 ,         74669.898 ,          3967.352 ,        10825.511 ,      7.576 ,                 0.048 ,  8.73  ,             0.055 ,1557.085            ,9.828                          , 306.67 ,             1.936 ,       120.07 ,                   0.758 , 171.252 ,             1.081 ,                  1715.203 ,                  1.844 ,           1.072 ,                         6.45  ,                0.497 ,                             2.015 ,                      0.611 ,                                    4.983 ,                           0.202 ,                              0.83  ,                          0.095 ,                         11.473 ,                          1.335 ,                   3.236 ,               0.215 ,30.358               ,               1.858
Brazil      ,1994 ,BRA      , 160980480.0 ,    10.086 ,                0.063 ,  254.002 ,9.696          ,3.969           ,         2193.873 ,392.482                      ,21.788                        ,                      13.628 ,                            1.22  ,         1.578 ,              0.141 ,  43.667 ,              0.271 ,              288.89  ,      5613.462 ,                   78065.227 ,            980.648 ,                82.058 ,            95.621 ,         76609.773 ,          4146.515 ,        11174.377 ,      8.004 ,                 0.05  ,  8.985 ,             0.056 ,1939.871            ,12.05                          , 313.05 ,             1.945 ,       123.53 ,                   0.767 , 179.162 ,             1.113 ,                  1798.857 ,                  1.714 ,           1.103 ,                         7.615 ,                0.51  ,                             2.003 ,                      0.624 ,                                    5.031 ,                           0.208 ,                              0.888 ,                          0.1   ,                         11.667 ,                          1.353 ,                   2.542 ,               0.219 ,33.583               ,               1.936
Brazil      ,1995 ,BRA      , 163515328.0 ,    11.528 ,                0.071 ,  268.678 ,14.676         ,5.778           ,         2172.453 ,-21.421                      ,-0.976                        ,                      13.286 ,                            1.136 ,         1.643 ,              0.14  ,  45.582 ,              0.279 ,              300.418 ,      5882.14  ,                   80237.68  ,           1026.231 ,                89.572 ,           105.224 ,         78513.547 ,          4336.861 ,        11697.941 ,      7.514 ,                 0.046 ,  9.603 ,             0.059 ,1903.775            ,11.643                         , 319.19 ,             1.952 ,       125.48 ,                   0.767 , 190.347 ,             1.164 ,                  1912.793 ,                  1.853 ,           1.142 ,                         7.449 ,                0.518 ,                             1.997 ,                      0.637 ,                                    5.076 ,                           0.214 ,                              0.936 ,                          0.106 ,                         11.856 ,                          1.374 ,                   2.302 ,               0.228 ,33.758               ,               2.038
Brazil      ,1996 ,BRA      , 166037120.0 ,    13.884 ,                0.084 ,  289.311 ,20.633         ,7.679           ,         2042.495 ,-129.958                     ,-5.982                        ,                      12.301 ,                            1.008 ,         1.742 ,              0.143 ,  46.468 ,              0.28  ,              314.302 ,      6171.451 ,                   82280.18  ,           1072.699 ,                97.393 ,           115.832 ,         80266.734 ,          4543.143 ,        12198.168 ,      7.821 ,                 0.047 , 10.608 ,             0.064 ,1753.184            ,10.559                         , 311.52 ,             1.876 ,       116.09 ,                   0.699 , 206.281 ,             1.242 ,                  2025.349 ,                  2.186 ,           1.193 ,                         6.753 ,                0.515 ,                             2.005 ,                      0.651 ,                                    5.108 ,                           0.219 ,                              0.982 ,                          0.112 ,                         12.012 ,                          1.396 ,                   2.231 ,               0.241 ,29.233               ,               2.144
Brazil      ,1997 ,BRA      , 168546704.0 ,    15.267 ,                0.091 ,  306.949 ,17.638         ,6.097           ,         2206.547 ,164.052                      ,8.032                         ,                      13.092 ,                            1.025 ,         1.821 ,              0.143 ,  47.044 ,              0.279 ,              329.569 ,      6478.4   ,                   84486.727 ,           1119.743 ,               105.997 ,           127.695 ,         82166.328 ,          4762.975 ,        12775.408 ,      8.604 ,                 0.051 , 11.863 ,             0.07  ,1899.598            ,11.27                          , 320.61 ,             1.902 ,       120.11 ,                   0.713 , 219.833 ,             1.304 ,                  2153.253 ,                  2.31  ,           1.258 ,                         6.922 ,                0.524 ,                             2.017 ,                      0.667 ,                                    5.143 ,                           0.225 ,                              1.032 ,                          0.118 ,                         12.16  ,                          1.421 ,                   2.438 ,               0.269 ,25.392               ,               2.251
Brazil      ,1998 ,BRA      , 171039808.0 ,    16.175 ,                0.095 ,  317.359 ,10.41          ,3.391           ,         2463.363 ,256.815                      ,11.639                        ,                      14.402 ,                            1.105 ,         1.855 ,              0.142 ,  45.591 ,              0.267 ,              345.744 ,      6795.759 ,                   86950.094 ,           1165.334 ,               115.46  ,           140.106 ,         84312.336 ,          4992.553 ,        13032.864 ,      9.463 ,                 0.055 , 12.411 ,             0.073 ,2146.004            ,12.547                         , 337.42 ,             1.973 ,       130.37 ,                   0.762 , 229.578 ,             1.342 ,                  2229.139 ,                  2.457 ,           1.304 ,                         8.078 ,                0.522 ,                             2.034 ,                      0.682 ,                                    5.196 ,                           0.23  ,                              1.089 ,                          0.124 ,                         12.364 ,                          1.447 ,                   2.811 ,               0.277 ,34.809               ,               2.32
Brazil      ,1999 ,BRA      , 173486272.0 ,    16.439 ,                0.095 ,  327.256 ,9.897          ,3.119           ,         2490.505 ,27.142                       ,1.102                         ,                      14.356 ,                            1.105 ,         1.886 ,              0.145 ,  46.805 ,              0.27  ,              362.183 ,      7123.015 ,                   89440.602 ,           1212.139 ,               125.583 ,           154.175 ,         86475.578 ,          5228.022 ,        12995.942 ,     10.123 ,                 0.058 , 14.069 ,             0.081 ,2163.249            ,12.469                         , 338.43 ,             1.951 ,       129.16 ,                   0.744 , 235.468 ,             1.357 ,                  2254.618 ,                  2.381 ,           1.318 ,                         8.076 ,                0.528 ,                             2.047 ,                      0.698 ,                                    5.248 ,                           0.235 ,                              1.148 ,                          0.131 ,                         12.571 ,                          1.472 ,                   3.066 ,               0.306 ,36.03                ,               2.323
Brazil      ,2000 ,BRA      , 175873712.0 ,    16.047 ,                0.091 ,  340.183 ,12.927         ,3.95            ,         2299.381 ,-191.124                     ,-7.674                        ,                      13.074 ,                            0.976 ,         1.934 ,              0.144 ,  50.46  ,              0.287 ,              378.23  ,      7463.198 ,                   91739.977 ,           1262.599 ,               136.32  ,           172.618 ,         88434.781 ,          5467.51  ,        13400.32  ,     10.737 ,                 0.061 , 18.442 ,             0.105 ,1959.198            ,11.14                          , 333.94 ,             1.899 ,       124.64 ,                   0.709 , 239.488 ,             1.362 ,                  2356.764 ,                  2.224 ,           1.334 ,                         7.447 ,                0.548 ,                             2.054 ,                      0.713 ,                                    5.287 ,                           0.24  ,                              1.208 ,                          0.141 ,                         12.756 ,                          1.496 ,                   3.092 ,               0.39  ,36.446               ,               2.33
Brazil      ,2001 ,BRA      , 178211888.0 ,    15.227 ,                0.085 ,  346.166 ,5.983          ,1.759           ,         2227.689 ,-71.693                      ,-3.118                        ,                      12.5   ,                            0.969 ,         1.942 ,              0.151 ,  49.427 ,              0.277 ,              393.457 ,      7809.364 ,                   93967.664 ,           1312.026 ,               148.041 ,           195.803 ,         90316.297 ,          5709.305 ,        12893.828 ,     11.721 ,                 0.066 , 23.186 ,             0.13  ,1881.523            ,10.558                         , 347.57 ,             1.95  ,       132.72 ,                   0.745 , 241.795 ,             1.357 ,                  2297.833 ,                  2.02  ,           1.348 ,                         7.254 ,                0.534 ,                             2.053 ,                      0.728 ,                                    5.322 ,                           0.245 ,                              1.274 ,                          0.154 ,                         12.934 ,                          1.519 ,                   3.49  ,               0.487 ,37.36                ,               2.335
Brazil      ,2002 ,BRA      , 180476688.0 ,    14.39  ,                0.08  ,  347.765 ,1.599          ,0.462           ,         2328.348 ,100.659                      ,4.519                         ,                      12.901 ,                            0.991 ,         1.927 ,              0.148 ,  48.689 ,              0.27  ,              407.847 ,      8157.129 ,                   96296.016 ,           1360.715 ,               159.259 ,           225.096 ,         92296.891 ,          5948.524 ,        13021.791 ,     11.218 ,                 0.062 , 29.293 ,             0.162 ,1980.583            ,10.974                         , 371.36 ,             2.058 ,       147.54 ,                   0.818 , 239.219 ,             1.325 ,                  2350.13  ,                  1.84  ,           1.325 ,                         7.36  ,                0.503 ,                             2.045 ,                      0.743 ,                                    5.358 ,                           0.25  ,                              1.333 ,                          0.171 ,                         13.116 ,                          1.541 ,                   3.455 ,               0.597 ,36.778               ,               2.314
Brazil      ,2003 ,BRA      , 182629280.0 ,    13.096 ,                0.072 ,  344.645 ,-3.12          ,-0.897          ,         3318.011 ,989.663                      ,42.505                        ,                      18.168 ,                            1.386 ,         1.887 ,              0.144 ,  51.933 ,              0.284 ,              420.943 ,      8501.773 ,                   99614.023 ,           1412.648 ,               170.458 ,           256.015 ,         95270.25  ,          6180.958 ,        13111.923 ,     11.199 ,                 0.061 , 30.919 ,             0.169 ,2973.366            ,16.281                         , 387.02 ,             2.119 ,       152.26 ,                   0.834 , 232.434 ,             1.273 ,                  2394.621 ,                  1.523 ,           1.247 ,                         9.91  ,                0.494 ,                             2.023 ,                      0.755 ,                                    5.441 ,                           0.255 ,                              1.387 ,                          0.187 ,                         13.427 ,                          1.558 ,                   3.25  ,               0.608 ,50.97                ,               2.189
Brazil      ,2004 ,BRA      , 184722048.0 ,    13.273 ,                0.072 ,  361.434 ,16.789         ,4.871           ,         2613.293 ,-704.717                     ,-21.239                       ,                      14.147 ,                            1.041 ,         1.957 ,              0.144 ,  53.833 ,              0.291 ,              434.216 ,      8863.208 ,                  102227.32  ,           1466.48  ,               181.298 ,           294.23  ,         97522.109 ,          6420.726 ,        13593.7   ,     10.84  ,                 0.059 , 38.215 ,             0.207 ,2251.86             ,12.191                         , 404.45 ,             2.19  ,       163.67 ,                   0.886 , 239.768 ,             1.298 ,                  2511.056 ,                  1.477 ,           1.263 ,                         7.683 ,                0.495 ,                             2.001 ,                      0.768 ,                                    5.482 ,                           0.259 ,                              1.435 ,                          0.207 ,                         13.641 ,                          1.575 ,                   3.164 ,               0.726 ,41.749               ,               2.178
Brazil      ,2005 ,BRA      , 186797344.0 ,    14.349 ,                0.077 ,  364.371 ,2.937          ,0.813           ,         2323.059 ,-290.235                     ,-11.106                       ,                      12.436 ,                            0.902 ,         1.951 ,              0.141 ,  50.948 ,              0.273 ,              448.565 ,      9227.579 ,                  104550.375 ,           1517.429 ,               195.175 ,           333.85  ,         99480.797 ,          6660.947 ,        13792.465 ,     13.877 ,                 0.074 , 39.619 ,             0.212 ,1958.688            ,10.486                         , 414.53 ,             2.219 ,       164.57 ,                   0.881 , 240.221 ,             1.286 ,                  2576.396 ,                  1.489 ,           1.231 ,                         6.737 ,                0.441 ,                             1.979 ,                      0.779 ,                                    5.504 ,                           0.263 ,                              1.504 ,                          0.227 ,                         13.82  ,                          1.59  ,                   3.988 ,               0.737 ,40.039               ,               2.162
Brazil      ,2006 ,BRA      , 188820688.0 ,    15.44  ,                0.082 ,  368.871 ,4.5            ,1.235           ,         2037.965 ,-285.094                     ,-12.272                       ,                      10.793 ,                            0.77  ,         1.954 ,              0.139 ,  50.838 ,              0.269 ,              464.005 ,      9596.45  ,                  106588.344 ,           1568.267 ,               208.057 ,           375.902 ,        101149.891 ,          6903.196 ,        14020.683 ,     12.882 ,                 0.068 , 42.053 ,             0.223 ,1669.094            ,8.84                           , 407.21 ,             2.157 ,       157.26 ,                   0.833 , 242.249 ,             1.283 ,                  2647.395 ,                  1.469 ,           1.205 ,                         5.686 ,                0.417 ,                             1.956 ,                      0.79  ,                                    5.508 ,                           0.266 ,                              1.561 ,                          0.246 ,                         13.951 ,                          1.605 ,                   3.707 ,               0.759 ,31.885               ,               2.161
Brazil      ,2007 ,BRA      , 190779456.0 ,    17.2   ,                0.09  ,  390.573 ,21.702         ,5.883           ,         1900.441 ,-137.524                     ,-6.748                        ,                       9.961 ,                            0.674 ,         2.047 ,              0.139 ,  54.989 ,              0.288 ,              481.205 ,      9987.022 ,                  108488.789 ,           1623.256 ,               221.526 ,           419.148 ,        102659.758 ,          7159.199 ,        14770.351 ,     13.469 ,                 0.071 , 43.246 ,             0.227 ,1509.868            ,7.914                          , 414.45 ,             2.172 ,       169.83 ,                   0.89  , 256.003 ,             1.342 ,                  2817.879 ,                  1.523 ,           1.24  ,                         5.271 ,                0.43  ,                             1.936 ,                      0.801 ,                                    5.504 ,                           0.27  ,                              1.62  ,                          0.264 ,                         14.071 ,                          1.622 ,                   3.923 ,               0.755 ,33.14                ,               2.276
Brazil      ,2008 ,BRA      , 192672320.0 ,    18.884 ,                0.098 ,  412.638 ,22.065         ,5.649           ,         1728.722 ,-171.719                     ,-9.036                        ,                       8.972 ,                            0.588 ,         2.142 ,              0.14  ,  55.315 ,              0.287 ,              500.089 ,     10399.661 ,                  110217.5   ,           1678.571 ,               235.733 ,           470.451 ,        103975.844 ,          7426.438 ,        15255.087 ,     14.207 ,                 0.074 , 51.303 ,             0.266 ,1316.084            ,6.831                          , 407.24 ,             2.114 ,       155.85 ,                   0.809 , 267.239 ,             1.387 ,                  2939.233 ,                  1.652 ,           1.288 ,                         4.7   ,                0.419 ,                             1.924 ,                      0.814 ,                                    5.489 ,                           0.273 ,                              1.683 ,                          0.286 ,                         14.159 ,                          1.641 ,                   4.244 ,               0.87  ,27.761               ,               2.385
Brazil      ,2009 ,BRA      , 194517552.0 ,    19.031 ,                0.098 ,  389.775 ,-22.863        ,-5.541          ,         1546.42  ,-182.302                     ,-10.545                       ,                       7.95  ,                            0.53  ,         2.004 ,              0.134 ,  43.586 ,              0.224 ,              519.12  ,     10789.437 ,                  111763.922 ,           1722.157 ,               254.167 ,           511.409 ,        105132.492 ,          7689.143 ,        15004.24  ,     18.434 ,                 0.095 , 40.959 ,             0.211 ,1156.645            ,5.946                          , 409.16 ,             2.103 ,       150.05 ,                   0.771 , 262.705 ,             1.351 ,                  2918.588 ,                  1.619 ,           1.238 ,                         4.21  ,                0.334 ,                             1.911 ,                      0.824 ,                                    5.466 ,                           0.274 ,                              1.773 ,                          0.3   ,                         14.215 ,                          1.659 ,                   5.579 ,               0.713 ,22.09                ,               2.397
Brazil      ,2010 ,BRA      , 196353504.0 ,    21.288 ,                0.108 ,  440.269 ,50.494         ,12.955          ,         1445.519 ,-100.901                     ,-6.525                        ,                       7.362 ,                            0.454 ,         2.242 ,              0.138 ,  56.688 ,              0.289 ,              540.408 ,     11229.705 ,                  113209.445 ,           1778.846 ,               269.381 ,           566.458 ,        106137.742 ,          7975.223 ,        16220.931 ,     15.214 ,                 0.077 , 55.049 ,             0.28  ,1005.25             ,5.12                           , 438.27 ,             2.232 ,       177.4  ,                   0.903 , 286.08  ,             1.457 ,                  3185.037 ,                  1.696 ,           1.322 ,                         3.756 ,                0.407 ,                             1.901 ,                      0.836 ,                                    5.434 ,                           0.277 ,                              1.835 ,                          0.321 ,                         14.251 ,                          1.68  ,                   4.456 ,               0.889 ,19.416               ,               2.525
Brazil      ,2011 ,BRA      , 198185296.0 ,    22.845 ,                0.115 ,  462.58  ,22.311         ,5.068           ,         1429.526 ,-15.993                      ,-1.106                        ,                       7.213 ,                            0.434 ,         2.334 ,              0.14  ,  62.292 ,              0.314 ,              563.253 ,     11692.285 ,                  114638.969 ,           1841.138 ,               283.501 ,           619.559 ,        107104.68  ,          8279.108 ,        16629.84  ,     14.12  ,                 0.071 , 53.101 ,             0.268 ,966.946             ,4.879                          , 429.81 ,             2.169 ,       168.0  ,                   0.848 , 303.885 ,             1.533 ,                  3295.79  ,                  1.693 ,           1.343 ,                         3.605 ,                0.423 ,                             1.892 ,                      0.849 ,                                    5.4   ,                           0.28  ,                              1.885 ,                          0.339 ,                         14.281 ,                          1.703 ,                   3.928 ,               0.833 ,18.531               ,               2.678
Brazil      ,2012 ,BRA      , 199977712.0 ,    24.998 ,                0.125 ,  498.309 ,35.729         ,7.724           ,         1586.254 ,156.728                      ,10.964                        ,                       7.932 ,                            0.468 ,         2.492 ,              0.147 ,  61.016 ,              0.305 ,              588.251 ,     12190.594 ,                  116225.219 ,           1902.154 ,               298.262 ,           682.955 ,        108192.625 ,          8606.843 ,        16963.494 ,     14.761 ,                 0.074 , 63.397 ,             0.317 ,1087.945            ,5.44                           , 434.35 ,             2.172 ,       171.55 ,                   0.858 , 327.734 ,             1.639 ,                  3392.321 ,                  1.806 ,           1.426 ,                         3.938 ,                0.41  ,                             1.888 ,                      0.863 ,                                    5.373 ,                           0.283 ,                              1.935 ,                          0.361 ,                         14.324 ,                          1.729 ,                   3.912 ,               0.975 ,20.354               ,               2.85
Brazil      ,2013 ,BRA      , 201721776.0 ,    26.652 ,                0.132 ,  532.418 ,34.109         ,6.845           ,         1744.127 ,157.873                      ,9.953                         ,                       8.646 ,                            0.502 ,         2.639 ,              0.153 ,  65.604 ,              0.325 ,              614.903 ,     12723.012 ,                  117969.352 ,           1967.758 ,               314.896 ,           757.659 ,        109404.344 ,          8949.181 ,        17221.439 ,     16.634 ,                 0.082 , 74.704 ,             0.37  ,1211.709            ,6.007                          , 428.42 ,             2.124 ,       168.6  ,                   0.836 , 342.338 ,             1.697 ,                  3473.939 ,                  1.847 ,           1.511 ,                         4.35  ,                0.438 ,                             1.886 ,                      0.879 ,                                    5.354 ,                           0.286 ,                              1.993 ,                          0.387 ,                         14.392 ,                          1.757 ,                   4.315 ,               1.143 ,24.939               ,               2.955
Brazil      ,2014 ,BRA      , 203459648.0 ,    26.908 ,                0.132 ,  557.901 ,25.483         ,4.786           ,         1811.109 ,66.982                       ,3.84                          ,                       8.902 ,                            0.508 ,         2.742 ,              0.157 ,  69.034 ,              0.339 ,              641.811 ,     13280.913 ,                  119780.461 ,           2036.792 ,               332.538 ,           838.945 ,        110657.547 ,          9305.934 ,        17519.043 ,     17.642 ,                 0.087 , 81.286 ,             0.4   ,1253.208            ,6.159                          , 436.81 ,             2.147 ,       177.2  ,                   0.871 , 356.753 ,             1.753 ,                  3564.418 ,                  1.794 ,           1.573 ,                         4.452 ,                0.46  ,                             1.882 ,                      0.895 ,                                    5.338 ,                           0.29  ,                              2.054 ,                          0.414 ,                         14.458 ,                          1.787 ,                   4.558 ,               1.223 ,24.034               ,               3.07
Brazil      ,2015 ,BRA      , 205188208.0 ,    25.082 ,                0.122 ,  529.353 ,-28.548        ,-5.117          ,         1855.354 ,44.246                       ,2.443                         ,                       9.042 ,                            0.528 ,         2.58  ,              0.151 ,  69.452 ,              0.338 ,              666.893 ,     13810.266 ,                  121635.812 ,           2106.244 ,               350.142 ,           919.409 ,        111983.547 ,          9636.293 ,        17140.15  ,     17.604 ,                 0.086 , 80.465 ,             0.392 ,1326.001            ,6.462                          , 446.49 ,             2.176 ,       177.68 ,                   0.866 , 330.359 ,             1.61  ,                  3516.957 ,                  1.736 ,           1.493 ,                         4.515 ,                0.474 ,                             1.876 ,                      0.909 ,                                    5.323 ,                           0.294 ,                              2.113 ,                          0.439 ,                         14.524 ,                          1.809 ,                   4.581 ,               1.186 ,23.551               ,               2.78
Brazil      ,2016 ,BRA      , 206859584.0 ,    22.415 ,                0.108 ,  492.748 ,-36.605        ,-6.915          ,         1745.648 ,-109.706                     ,-5.913                        ,                       8.439 ,                            0.509 ,         2.382 ,              0.144 ,  63.831 ,              0.309 ,              689.308 ,     14303.014 ,                  123381.461 ,           2170.075 ,               367.647 ,           989.075 ,        113236.445 ,          9949.232 ,        16591.764 ,     17.505 ,                 0.085 , 69.666 ,             0.337 ,1252.9              ,6.057                          , 447.89 ,             2.165 ,       176.2  ,                   0.852 , 312.939 ,             1.513 ,                  3432.166 ,                  1.512 ,           1.39  ,                         4.358 ,                0.446 ,                             1.862 ,                      0.92  ,                                    5.306 ,                           0.297 ,                              2.17  ,                          0.457 ,                         14.599 ,                          1.826 ,                   4.677 ,               1.0   ,27.243               ,               2.606
Brazil      ,2017 ,BRA      , 208504960.0 ,    20.217 ,                0.097 ,  497.121 ,4.373          ,0.888           ,         1586.351 ,-159.297                     ,-9.125                        ,                       7.608 ,                            0.458 ,         2.384 ,              0.144 ,  66.689 ,              0.32  ,              709.525 ,     14800.135 ,                  124967.812 ,           2236.765 ,               385.152 ,          1059.26  ,        114325.672 ,         10265.364 ,        16608.686 ,     17.505 ,                 0.084 , 70.186 ,             0.337 ,1089.23             ,5.224                          , 448.99 ,             2.153 ,       187.82 ,                   0.901 , 316.132 ,             1.516 ,                  3462.993 ,                  1.344 ,           1.38  ,                         3.908 ,                0.46  ,                             1.841 ,                      0.931 ,                                    5.282 ,                           0.3   ,                              2.222 ,                          0.474 ,                         14.654 ,                          1.843 ,                   4.518 ,               0.986 ,23.861               ,               2.587
Brazil      ,2018 ,BRA      , 210166592.0 ,    20.494 ,                0.098 ,  477.999 ,-19.123        ,-3.847          ,         1378.641 ,-207.71                      ,-13.094                       ,                       6.56  ,                            0.397 ,         2.274 ,              0.138 ,  65.737 ,              0.313 ,              730.019 ,     15278.134 ,                  126346.453 ,           2302.501 ,               402.657 ,          1126.327 ,        115226.32  ,         10566.169 ,        16539.109 ,     17.505 ,                 0.083 , 67.066 ,             0.319 ,900.643             ,4.285                          , 438.0  ,             2.084 ,       177.53 ,                   0.845 , 300.805 ,             1.431 ,                  3475.968 ,                  1.309 ,           1.3   ,                         3.358 ,                0.446 ,                             1.821 ,                      0.939 ,                                    5.25  ,                           0.303 ,                              2.27  ,                          0.488 ,                         14.688 ,                          1.856 ,                   4.298 ,               0.894 ,21.018               ,               2.452
Brazil      ,2019 ,BRA      , 211782880.0 ,    21.048 ,                0.099 ,  473.464 ,-4.534         ,-0.949          ,         1712.449 ,333.808                      ,24.213                        ,                       8.086 ,                            0.485 ,         2.236 ,              0.134 ,  61.926 ,              0.292 ,              751.067 ,     15751.598 ,                  128058.898 ,           2364.427 ,               420.162 ,          1193.393 ,        116465.305 ,         10865.695 ,        16681.945 ,     17.505 ,                 0.083 , 67.066 ,             0.317 ,1238.985            ,5.85                           , 449.79 ,             2.124 ,       189.05 ,                   0.893 , 299.527 ,             1.414 ,                  3532.95  ,                  1.303 ,           1.278 ,                         4.113 ,                0.422 ,                             1.801 ,                      0.947 ,                                    5.23  ,                           0.305 ,                              2.312 ,                          0.5   ,                         14.76  ,                          1.868 ,                   4.02  ,               0.88  ,26.949               ,               2.42
Brazil      ,2020 ,BRA      , 213196304.0 ,    23.366 ,                0.11  ,  444.504 ,-28.96         ,-6.117          ,         1472.334 ,-240.115                     ,-14.022                       ,                       6.906 ,                            0.434 ,         2.085 ,              0.131 ,  56.21  ,              0.264 ,              774.433 ,     16196.104 ,                  129531.242 ,           2420.637 ,               437.667 ,          1252.141 ,        117493.141 ,         11147.979 ,        15921.327 ,     17.505 ,                 0.082 , 58.748 ,             0.276 ,1027.829            ,4.821                          , 459.01 ,             2.153 ,       201.77 ,                   0.946 , 282.284 ,             1.324 ,                  3394.368 ,                  1.431 ,           1.27  ,                         3.746 ,                0.395 ,                             1.787 ,                      0.953 ,                                    5.207 ,                           0.307 ,                              2.356 ,                          0.509 ,                         14.809 ,                          1.881 ,                   4.393 ,               0.778 ,23.93                ,               2.59
Brazil      ,2021 ,BRA      , 214326224.0 ,    24.488 ,                0.114 ,  497.206 ,52.702         ,11.856          ,         1655.765 ,183.431                      ,12.459                        ,                       7.725 ,                            0.464 ,         2.32  ,              0.139 ,  67.642 ,              0.316 ,              798.921 ,     16693.309 ,                  131187.0   ,           2488.279 ,               455.172 ,          1328.045 ,        118651.688 ,         11453.256 ,        16659.977 ,     17.505 ,                 0.082 , 75.904 ,             0.354 ,1158.559            ,5.406                          ,        ,                   ,              ,                         , 305.275 ,             1.424 ,                  3570.67  ,                  1.447 ,           1.35  ,                         4.025 ,                0.451 ,                             1.774 ,                      0.962 ,                                    5.188 ,                           0.31  ,                              2.398 ,                          0.523 ,                         14.874 ,                          1.896 ,                   4.339 ,               0.958 ,26.809               ,               2.651
